Assigned;Assigned[%];Time[min];Iter;IterYield[%];Speed[it/s];AddedPert;AddedPert[%];HardStudentConf;StudentConf;DistStudentConf;CommitStudentConf;TimePref;RoomPref;DistInstrPref;GrConstPref;UselessHalfHours;BrokenTimePat;TooBigRooms
0;0.000;0.000;0;NaN;NaN;0;0.000;0;0;0;0;0.000;0;0;0;0;0;0
1;0.176;0.002;1;100.000;10.141;0;0.000;0;0;0;0;0.000;0;0;0;0;0;4
2;0.351;0.002;2;100.000;13.633;0;0.000;0;0;0;0;0.000;0;0;0;0;0;8
3;0.527;0.003;3;100.000;17.734;0;0.000;0;0;0;0;0.000;0;0;0;0;0;12
4;0.703;0.003;4;100.000;20.820;0;0.000;0;0;0;0;0.000;0;0;0;0;0;16
5;0.879;0.004;5;100.000;19.543;0;0.000;0;0;0;0;0.000;0;0;0;0;0;20
6;1.054;0.006;6;100.000;17.543;0;0.000;0;0;0;0;0.000;0;0;0;0;2;24
7;1.230;0.008;7;100.000;15.310;0;0.000;0;0;0;0;0.000;0;0;0;0;2;24
8;1.406;0.016;8;100.000;8.260;0;0.000;0;0;0;0;0.000;0;0;0;0;2;28
9;1.582;0.016;9;100.000;9.206;0;0.000;0;0;0;0;0.000;0;0;0;0;2;29
10;1.757;0.017;10;100.000;10.091;0;0.000;0;0;0;0;0.000;0;0;0;0;2;33
11;1.933;0.017;11;100.000;10.948;0;0.000;0;0;0;0;0.000;0;0;0;0;2;33
12;2.109;0.017;12;100.000;11.826;0;0.000;0;0;0;0;0.000;0;0;0;0;2;37
13;2.285;0.017;13;100.000;12.712;0;0.000;0;0;0;0;0.000;0;0;0;0;2;41
14;2.460;0.018;14;100.000;12.887;0;0.000;0;0;0;0;0.000;0;0;0;0;2;45
15;2.636;0.019;15;100.000;13.332;0;0.000;0;0;0;0;0.000;0;0;0;0;2;49
16;2.812;0.019;16;100.000;13.921;0;0.000;0;0;0;0;0.000;0;0;0;0;2;53
17;2.988;0.020;17;100.000;14.179;0;0.000;0;0;0;0;0.000;0;0;0;0;2;57
18;3.163;0.020;18;100.000;14.872;0;0.000;0;0;0;0;0.000;0;0;0;0;4;61
19;3.339;0.020;19;100.000;15.567;0;0.000;0;0;0;0;0.000;0;0;0;0;7;62
20;3.515;0.021;20;100.000;16.010;0;0.000;0;0;0;0;0.000;0;0;0;0;10;66
21;3.691;0.021;21;100.000;16.418;0;0.000;0;0;0;0;0.000;0;0;0;0;13;66
22;3.866;0.022;22;100.000;16.509;0;0.000;0;0;0;0;0.000;0;0;0;0;13;70
23;4.042;0.033;23;100.000;11.580;0;0.000;0;0;0;0;0.000;0;0;0;0;13;70
24;4.218;0.033;24;100.000;12.008;0;0.000;0;0;0;0;0.000;0;0;0;0;13;74
25;4.394;0.034;25;100.000;12.417;0;0.000;0;0;0;0;0.000;0;0;0;0;13;74
26;4.569;0.034;26;100.000;12.798;0;0.000;0;0;0;0;0.000;0;0;0;0;13;78
27;4.745;0.034;27;100.000;13.222;0;0.000;0;0;0;0;0.000;0;0;0;0;13;82
28;4.921;0.034;28;100.000;13.612;0;0.000;0;0;0;0;0.000;0;0;0;0;13;86
29;5.097;0.035;29;100.000;13.752;0;0.000;0;0;0;0;0.000;0;0;0;0;15;90
30;5.272;0.035;30;100.000;14.187;0;0.000;0;0;0;0;0.000;0;0;0;0;15;94
31;5.448;0.036;31;100.000;14.476;0;0.000;0;0;0;0;0.000;0;0;0;0;15;98
32;5.624;0.036;32;100.000;14.856;0;0.000;0;0;0;0;0.000;0;0;0;0;15;102
33;5.800;0.036;33;100.000;15.240;0;0.000;0;0;0;0;0.000;0;0;0;0;15;106
34;5.975;0.037;34;100.000;15.442;0;0.000;0;0;0;0;0.000;0;0;0;0;15;110
35;6.151;0.037;35;100.000;15.839;0;0.000;0;0;0;0;0.000;0;0;0;0;15;114
36;6.327;0.037;36;100.000;16.209;0;0.000;0;0;0;0;0.000;0;0;0;0;17;118
37;6.503;0.037;37;100.000;16.566;0;0.000;0;0;0;0;0.000;0;0;0;0;17;122
38;6.678;0.038;38;100.000;16.885;0;0.000;0;0;0;0;0.000;0;0;0;0;17;126
39;6.854;0.038;39;100.000;17.261;0;0.000;0;0;0;0;0.000;0;0;0;0;17;130
40;7.030;0.038;40;100.000;17.480;0;0.000;0;0;0;0;0.000;0;0;0;0;19;134
41;7.206;0.040;41;100.000;17.110;0;0.000;0;0;0;0;0.000;0;0;0;0;19;138
42;7.381;0.041;42;100.000;17.153;0;0.000;0;0;0;0;0.000;0;0;0;0;19;142
43;7.557;0.041;43;100.000;17.477;0;0.000;0;0;0;0;0.000;0;0;0;0;19;146
44;7.733;0.041;44;100.000;17.840;0;0.000;0;0;0;0;0.000;0;0;0;0;21;150
45;7.909;0.042;45;100.000;18.046;0;0.000;0;0;0;0;0.000;0;0;0;0;21;154
46;8.084;0.042;46;100.000;18.282;0;0.000;0;0;0;0;0.000;0;0;0;0;21;158
47;8.260;0.043;47;100.000;18.404;0;0.000;0;0;0;0;0.000;0;0;0;0;21;162
48;8.436;0.043;48;100.000;18.617;0;0.000;0;0;0;0;0.000;0;0;0;0;21;163
49;8.612;0.043;49;100.000;18.831;0;0.000;0;0;0;0;0.000;0;0;0;0;23;163
50;8.787;0.044;50;100.000;18.994;0;0.000;0;0;0;0;0.000;0;0;0;0;23;163
51;8.963;0.044;51;100.000;19.323;0;0.000;0;0;0;0;0.000;0;0;0;0;23;167
52;9.139;0.045;52;100.000;19.466;0;0.000;0;0;0;0;0.000;0;0;0;0;23;171
53;9.315;0.045;53;100.000;19.661;0;0.000;0;0;0;0;0.000;0;0;0;0;25;171
54;9.490;0.046;54;100.000;19.750;0;0.000;0;0;0;0;0.000;0;0;0;0;27;175
55;9.666;0.046;55;100.000;19.729;0;0.000;0;0;0;0;0.000;0;0;0;0;27;179
56;9.842;0.047;56;100.000;20.036;0;0.000;0;0;0;0;0.000;0;0;0;0;27;183
